cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
NCI-H2444	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H2347	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	54 year	not available	female	not available	not available
NCI-H2887	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
NCI-H28	Homo sapiens	pleura	pleural mesothelioma; mesothelioma	not available	not available	not available	not available	not available
NCI-H2452	Homo sapiens	pleura	pleural mesothelioma; mesothelioma	not available	not available	not available	not available	not available
NCI-H2882	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
OPM-1	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
LN-382	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
LN-428	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
LN-443	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
LNCaP clone FGC	Homo sapiens	prostate	prostate carcinoma	not available	not available	not available	not available	not available
LN-464	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
Loucy	Homo sapiens	hematopoietic system and lymphoid system	adult T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
LOU-NH91	Homo sapiens	lung	squamous cell lung carcinoma; squamous cell carcinoma	64 year	not available	female	not available	not available
JHUEM-7	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
JHUEM-3	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
JHUEM-2	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
JHUEM-1	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
JL-1	Homo sapiens	pleura	mesothelioma	54 year	not available	male	not available	not available
JK-1	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	not available	not available	not available	not available	not available
JJN-3	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; leukemia	not available	not available	not available	not available	not available
JIMT-1	Homo sapiens	breast	breast carcinoma; breast ductal adenocarcinoma	62 year	not available	female	not available	not available
JMSU-1	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
JM1	Homo sapiens	hematopoietic system and lymphoid system	T-cell acute lymphoblastic leukemia	not available	not available	not available	not available	not available
SW 1573	Homo sapiens	lung	bronchioloalveolar carcinoma; bronchoalveolar adenocarcinoma	44 year	not available	female	not available	not available
SW-1710	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
SW1417	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
SW1463	Homo sapiens	large intestine	rectal adenocarcinoma; colorectal adenocarcinoma	not available	not available	female	not available	not available
SNU-1196	Homo sapiens	biliary system	hilar cholangiocarcinoma	not available	not available	not available	not available	not available
SNU-1105	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
SW 1783	Homo sapiens	central nervous system	anaplastic astrocytoma	not available	not available	not available	not available	not available
SW 1990	Homo sapiens	pancreas	pancreatic adenocarcinoma	56 year	not available	male	not available	not available
CAL-62	Homo sapiens	thyroid gland	thyroid gland undifferentiated (anaplastic) carcinoma	not available	not available	not available	not available	not available
SNU-1066	Homo sapiens	upper digestive tract	laryngeal squamous cell carcinoma	not available	not available	not available	not available	not available
SNU-1079	Homo sapiens	biliary system	intrahepatic cholangiocarcinoma	not available	not available	not available	not available	not available
SNU-1077	Homo sapiens	endometrium	uterine carcinosarcoma	not available	not available	not available	not available	not available
SNU-1033	Homo sapiens	large intestine	rectal adenocarcinoma	not available	not available	not available	not available	not available
SNG-M	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
SNU-1041	Homo sapiens	upper digestive tract	hypopharyngeal squamous cell carcinoma	not available	not available	not available	not available	not available
SNU-1040	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
MDA-MB-453	Homo sapiens	breast	breast adenocarcinoma; breast carcinoma	not available	not available	female	not available	not available
MDA-MB-468	Homo sapiens	breast	breast adenocarcinoma	51 year	not available	female	not available	not available
MDA PCa 2b	Homo sapiens	prostate	prostate carcinoma	not available	not available	not available	not available	not available
MDST8	Homo sapiens	large intestine	colon carcinoma; colorectal adenocarcinoma	not available	not available	not available	not available	not available
MDA-MB-361	Homo sapiens	breast	breast adenocarcinoma	not available	not available	female; not available	not available	not available
MDA-MB-415	Homo sapiens	breast	breast adenocarcinoma	38 year	not available	female	not available	not available
MDA-MB-435S	Homo sapiens	skin	amelanotic melanoma	not available	not available	not available	not available	not available
MDA-MB-436	Homo sapiens	breast	invasive ductal carcinoma; breast adenocarcinoma	43 year	not available	female	not available	not available
ME-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute myelogenic leukemia	40 year	not available	male	not available	not available
MEC-1	Homo sapiens	hematopoietic system and lymphoid system	chronic lymphocytic leukemia	not available	not available	not available	not available	not available
S-117	Homo sapiens	thyroid gland	thyroid gland sarcoma	not available	not available	not available	not available	not available
HEC-50B	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
NCI-H1435	Homo sapiens	lung	non-small cell lung carcinoma	35 year	not available	female	not available	not available
RERF-LC-KJ	Homo sapiens	lung	lung adenocarcinoma	78 year	not available	male	not available	not available
RERF-LC-AI	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
RD-ES	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
RCM-1	Homo sapiens	large intestine	rectal adenocarcinoma; colon adenocarcinoma	73 year	not available	female	not available	not available
REC-1	Homo sapiens	hematopoietic system and lymphoid system	Mantle cell lymphoma; B-cell lymphoma	61 year	not available	male	not available	not available
RD	Homo sapiens	soft tissue	embryonal rhabdomyosarcoma	not available	not available	not available	not available	not available
RERF-GC-1B	Homo sapiens	stomach	gastric adenocarcinoma; gastric carcinoma	41 year	not available	male	not available	not available
Reh	Homo sapiens	hematopoietic system and lymphoid system	childhood B acute lymphoblastic leukemia	not available	not available	not available	not available	not available
RERF-LC-Ad2	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
RERF-LC-Ad1	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
NCI-H1155	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	36 year	not available	male	not available	not available
NCI-H2081	Homo sapiens	lung	small cell lung carcinoma	59 year	not available	female	not available	not available
NCI-H1963	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H1944	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	62 year	not available	female	not available	not available
NCI-H209	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H2106	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	58 year	not available	male	not available	not available
NCI-H2110	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H211	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H1838	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	not available	female	not available	not available
NCI-H1836	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H1819	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
NCI-H1793	Homo sapiens	lung	lung adenocarcinoma	52 year	not available	female	not available	not available
NCI-H1373	Homo sapiens	lung	lung adenocarcinoma	56 year	not available	male	not available	not available
NCI-H1915	Homo sapiens	lung	non-small cell lung carcinoma	61 year	not available	female	not available	not available
NCI-H1876	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H1869	Homo sapiens	lung	non-small cell lung carcinoma	58 year	not available	male	not available	not available
NCI-H1385	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
COLO 829	Homo sapiens	skin	melanoma	45 year	not available	male	not available	not available
COLO-800	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
SNU-C4	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
TE 159.T	Homo sapiens	fibroblast	rhabdomyosarcoma	not available	not available	not available	not available	not available
HEC-1-B	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
HEC-251	Homo sapiens	endometrium	endometrial carcinoma	not available	not available	not available	not available	not available
HEC-265	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
ECC12	Homo sapiens	stomach	gastric small cell neuroendocrine carcinoma	not available	not available	not available	not available	not available
HEC-59	Homo sapiens	endometrium	endometrial carcinoma	not available	not available	not available	not available	not available
HEC-6	Homo sapiens	endometrium	endometrial endometrioid adenocarcinoma, variant with squamous differentiation	not available	not available	not available	not available	not available
HEK TE	Homo sapiens	kidney	normal cell line	not available	not available	not available	not available	not available
HEL 92.1.7	Homo sapiens	hematopoietic system and lymphoid system	erythroleukemia	not available	not available	not available	not available	not available
HeLa	Homo sapiens	cervix; uterine cervix	cervical adenocarcinoma; cervical carcinoma	not available		female	not available
HEL	Homo sapiens	hematopoietic system and lymphoid system	erythroleukemia	30 year	not available	male	not available	not available
DOHH-2	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	60 year	not available	male	not available	not available
DND-41	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia; acute lymphoblastic leukemia	not available	not available	male	not available	not available
ECC10	Homo sapiens	stomach	gastric small cell neuroendocrine carcinoma	not available	not available	not available	not available	not available
EBC-1	Homo sapiens	lung	squamous cell lung carcinoma; non-small cell lung carcinoma	not available	not available	not available	not available	not available
EB1	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma; malignant Burkitt's lymphoma	not available	not available	not available	not available	not available
DV-90	Homo sapiens	lung	lung adenocarcinoma	50 year	not available	male	not available	not available
A2058	Homo sapiens	skin	amelanotic melanoma; melanoma	43 year	not available	male	not available	not available
A-204	Homo sapiens	soft tissue	embryonal rhabdomyosarcoma	not available	not available	not available	not available	not available
COLO-679	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
PC-14	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
786-O	Homo sapiens	kidney	renal cell carcinoma; renal adenocarcinoma	58 year	not available	male	not available	not available
769-P	Homo sapiens	kidney	renal cell carcinoma; renal adenocarcinoma	63 year	not available	female	not available	not available
8505C	Homo sapiens	thyroid gland	thyroid gland undifferentiated (anaplastic) carcinoma		adult	female	not available
8305C	Homo sapiens	thyroid gland	thyroid gland undifferentiated (anaplastic) carcinoma	not available	not available	not available	not available	not available
A101D	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
8-MG-BA	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
A172	Homo sapiens	central nervous system	glioblastoma	not available	not available	male	not available	not available
A1207	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
SNU-475	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
SNU-478	Homo sapiens	biliary system	ampulla of Vater adenocarcinoma	not available	not available	not available	not available	not available
SNU-489	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
SNU-503	Homo sapiens	large intestine	rectal adenocarcinoma	not available	not available	not available	not available	not available
SNU-423	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
SNU-449	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
SNU-466	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
SNU-46	Homo sapiens	upper digestive tract	laryngeal squamous cell carcinoma	not available	not available	not available	not available	not available
SNU-520	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	not available	not available	not available
SNU-5	Homo sapiens	stomach	gastric carcinoma	not available	not available	not available	not available	not available
HuNS1	Homo sapiens	hematopoietic system and lymphoid system	normal cell line	not available	not available	not available	not available	not available
HuH-7	Homo sapiens	liver	hepatocellular carcinoma	57 year; 57	adult	male	not available	HuH7
HuH-6	Homo sapiens	liver	hepatoblastoma	not available	not available	not available	not available	not available
HuH28	Homo sapiens	biliary system	intrahepatic cholangiocarcinoma	not available	not available	not available	not available	not available
HuH-1	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
HuG1-N	Homo sapiens	stomach	gastric tubular adenocarcinoma	not available	not available	not available	not available	not available
HuCCT1	Homo sapiens	biliary system	intrahepatic cholangiocarcinoma	not available	not available	not available	not available	not available
HT	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse mixed lymphoma	70 year	not available	male	not available	not available
HUP-T4	Homo sapiens	pancreas	pancreatic adenocarcinoma; pancreatic carcinoma	60 year	not available	male	not available	not available
HUP-T3	Homo sapiens	pancreas	pancreatic adenocarcinoma	66 year	not available	male	not available	not available
PE/CA-PJ15	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
SW 780	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	80 year	not available	female	not available	not available
TGBC11TKB	Homo sapiens	stomach	gastric carcinoma; gastric adenocarcinoma	not available	not available	female	not available	not available
SIG-M5	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute monocytic leukemia	not available	not available	not available	not available	not available
SHP-77	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
SIMA	Homo sapiens	autonomic ganglion	neuroblastoma	not available	not available	not available	not available	not available
SiHa	Homo sapiens	cervix; uterine cervix	cervical squamous cell carcinoma	not available		female; not available	not available
SK-BR-3	Homo sapiens	breast; mammary gland	breast adenocarcinoma; adenocarcinoma	43 year; 43	adult	female	not available
SJSA-1	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
SK-ES-1	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
SK-CO-1	Homo sapiens	large intestine	colon adenocarcinoma	65 year	not available	male	not available	not available
SK-LMS-1	Homo sapiens	soft tissue	vulvar leiomyosarcoma	not available	not available	not available	not available	not available
SK-HEP-1	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
L-540	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	not available	not available	not available	not available	not available
LAMA-84	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenous leukemia	not available	not available	female	not available	not available
PANC-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	56 year	not available	male	not available	not available
MUTZ-5	Homo sapiens	hematopoietic system and lymphoid system	B-cell acute lymphoblastic leukemia	not available	not available	not available	not available	not available
MV-4-11	Homo sapiens	hematopoietic system and lymphoid system	childhood acute monocytic leukemia; acute myeloid leukemia	10 year	not available	male	not available	not available
U-118 MG	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
U-178MG	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
PA-TU-8902	Homo sapiens	pancreas	pancreatic adenocarcinoma	not available	not available	not available	not available	not available
U-2 OS	Homo sapiens	bone	osteosarcoma	15 year	not available	female	not available	not available
U-343MG	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
MOLT-3	Homo sapiens	hematopoietic system and lymphoid system; blood	adult T acute lymphoblastic leukemia	19	adult	male	not available
MONO-MAC-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute monocytic leukemia	not available	not available	not available	not available	not available
MONO-MAC-6	Homo sapiens	hematopoietic system and lymphoid system	adult acute monocytic leukemia	not available	not available	not available	not available	not available
MON	Homo sapiens	soft tissue	malignant rhabdoid tumour	not available	not available	not available	not available	not available
MOR/CPR	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
MPP 89	Homo sapiens	pleura	mesothelioma	not available	not available	not available	not available	not available
MSTO-211H	Homo sapiens	pleura; lung	pleural mesothelioma; Biphasic Mesothelioma				not available
MUTZ-3	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	not available	not available	not available	not available	not available
KNS-60	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
KNS-42	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
KARPAS-422	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; non-Hodgkin's lymphoma	not available	not available	not available	not available	not available
KARPAS-620	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; plasma cell leukemia; leukemia	77 year	not available	not available; female	not available	not available
KOPN-8	Homo sapiens	hematopoietic system and lymphoid system	childhood B acute lymphoblastic leukemia	not available	not available	not available	not available	not available
KO52	Homo sapiens	hematopoietic system and lymphoid system	acute myeloid leukemia; acute myelomonocytic leukemia	not available	not available	male	not available	not available
KNS-81	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
KNS-62	Homo sapiens	lung	squamous cell lung carcinoma; non-small cell lung carcinoma	49 year	not available	male	not available	not available
JVM-2	Homo sapiens	hematopoietic system and lymphoid system	Mantle cell lymphoma	not available	not available	not available	not available	not available
JVM-3	Homo sapiens	hematopoietic system and lymphoid system	B-cell prolymphocytic leukemia	not available	not available	not available	not available	not available
JURKAT	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
JURL-MK1	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	not available	not available	not available	not available	not available
KALS-1	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
KARPAS-299	Homo sapiens	hematopoietic system and lymphoid system	anaplastic large cell lymphoma	not available	not available	not available	not available	not available
K029AX	Homo sapiens	skin	cutaneous melanoma	not available	not available	not available	not available	not available
K-562	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenic leukemia	not available	not available	not available	not available	not available
RH-18	Homo sapiens	soft tissue	alveolar rhabdomyosarcoma	not available	not available	not available	not available	not available
LCLC-97TM1	Homo sapiens	lung	large cell lung carcinoma	44 year	not available	male	not available	not available
TUHR14TKB	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
TUHR10TKB	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
RH-30	Homo sapiens	soft tissue	alveolar rhabdomyosarcoma	not available	not available	not available	not available	not available
U-87 MG	Homo sapiens	central nervous system; brain	glioblastoma				not available
TTC-709	Homo sapiens	soft tissue	malignant rhabdoid tumour	not available	not available	not available	not available	not available
TTC-642	Homo sapiens	soft tissue	malignant rhabdoid tumour	not available	not available	not available	not available	not available
TT	Homo sapiens	thyroid gland	multiple endocrine neoplasia	not available	not available	not available	not available	not available
T.T	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
TT2609-C02	Homo sapiens	thyroid gland	hereditary thyroid gland medullary carcinoma; follicular thyroid carcinoma	not available	not available	male	not available	not available
TOV-21G	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	not available	not available	not available	not available	not available
TTC-549	Homo sapiens	soft tissue	malignant rhabdoid tumour	not available	not available	not available	not available	not available
TTC-1240	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	not available	not available	not available	not available	not available
GB-1	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
GCIY	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	female	not available	not available
OVMANA	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	not available	not available	not available	not available	not available
FU97	Homo sapiens	stomach	gastric adenocarcinoma	66 year	not available	male	not available	not available
FU-OV-1	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	not available	not available	not available	not available
G-292-clone-A141B1	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
G-361	Homo sapiens	skin	melanoma	31 year	not available	male	not available	not available
G-401	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	not available	not available	not available	not available	not available
G-402	Homo sapiens	soft tissue	leiomyoma, epithelioid; renal leiomyoma	9 month	not available	female	not available	not available
GA-10	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma; malignant Burkitt's lymphoma	41 year	not available	male	not available	not available
GAMG	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
RL95-2	Homo sapiens	endometrium	endometrial adenosquamous carcinoma	not available	not available	not available	not available	not available
SH-10-TC	Homo sapiens	stomach	mucinous gastric adenocarcinoma	not available	not available	not available	not available	not available
SF-295	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
RL	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	52 year	not available	male	not available	not available
Set-2	Homo sapiens	hematopoietic system and lymphoid system	adult acute megakaryoblastic leukaemia	not available	not available	not available	not available	not available
SEM	Homo sapiens	hematopoietic system and lymphoid system	childhood B acute lymphoblastic leukemia	not available	not available	not available	not available	not available
SF172	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
SF126	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
OVKATE	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian adenocarcinoma; ovarian papillary serous adenocarcinoma	40 year	adult	female	not available	not available
U-937	Homo sapiens	hematopoietic system and lymphoid system	adult acute monocytic leukemia; diffuse large B-cell lymphoma	37 year	not available	male	not available	not available
MDA-MB-134-VI	Homo sapiens	breast	invasive lobular carcinoma; breast carcinoma	47 year	not available	female	not available	not available
MDA-MB-157	Homo sapiens	breast	breast carcinoma; breast medullary carcinoma	44 year	not available	female	not available	not available
MCAS	Homo sapiens	ovary	ovarian mucinous cystadenocarcinoma; ovarian adenocarcinoma	not available	not available	not available	not available	not available
MCF7	Homo sapiens	breast	invasive ductal carcinoma; breast cancer	not available	not available	not available	not available	not available
Malme-3M	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
MC116	Homo sapiens	hematopoietic system and lymphoid system	B-cell non-Hodgkins lymphoma; lymphoma	not available	not available	not available	not available	not available
M059K	Homo sapiens	central nervous system	glioblastoma	33 year	not available	male	not available	not available
M-07e	Homo sapiens	hematopoietic system and lymphoid system	childhood acute megakaryoblastic leukemia	not available	not available	not available	not available	not available
SW 1353	Homo sapiens	bone	chondrosarcoma	not available	not available	not available	not available	not available
NCI-H1930	Homo sapiens	lung	small cell lung carcinoma	41 year	not available	male	not available	not available
Panc 04.03	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	70 year	not available	male	not available	not available
MDA-MB-175-VII	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	56 year	not available	female	not available	not available
MDA-MB-231	Homo sapiens	breast	breast adenocarcinoma	51 year	not available	female	not available	not available
BFTC-905	Homo sapiens	urinary tract	bladder transitional cell carcinoma; urinary bladder transitional cell carcinoma	51 year	not available	female	not available	not available
BFTC-909	Homo sapiens	kidney	transitional cell carcinoma of kidney	64 year	not available	male	not available	not available
BDCM	Homo sapiens	hematopoietic system and lymphoid system	acute myeloid leukemia	not available	not available	not available	not available	not available
BEN	Homo sapiens	lung	non-small cell lung carcinoma; lung carcinoma	71 year	not available	male	not available	not available
BCP-1	Homo sapiens	hematopoietic system and lymphoid system	primary effusion lymphoma	not available	not available	not available	not available	not available
B-CPAP	Homo sapiens	thyroid gland	papillary thyroid carcinoma	not available	not available	not available	not available	not available
AU565	Homo sapiens	breast	breast adenocarcinoma	not available	not available	not available	not available	not available
BC-3C	Homo sapiens	urinary tract	bladder transitional cell carcinoma	not available	not available	not available	not available	not available
BHT-101	Homo sapiens	thyroid gland	thyroid gland undifferentiated (anaplastic) carcinoma	not available	not available	not available	not available	not available
BHY	Homo sapiens	upper digestive tract	oral squamous cell carcinoma; oral cavity squamous cell carcinoma	not available	not available	not available	not available	not available
Hs 695T	Homo sapiens	skin	amelanotic melanoma; melanoma	not available	not available	not available	not available	not available
Hs 698.T	Homo sapiens	fibroblast	colorectal carcinoma	not available	not available	not available	not available	not available
Hs 706.T	Homo sapiens	bone	bone giant cell tumor	not available	not available	not available	not available	not available
Hs 729	Homo sapiens	soft tissue	embryonal rhabdomyosarcoma	not available	not available	not available	not available	not available
Hs 618.T	Homo sapiens	fibroblast	lung adenocarcinoma	not available	not available	not available	not available	not available
Hs 675.T	Homo sapiens	fibroblast	colorectal carcinoma; colon carcinoma	not available	not available	male	not available	not available
Hs 683	Homo sapiens	central nervous system	oligodendroglioma; glioma	not available	not available	not available	not available	not available
Hs 688(A).T	Homo sapiens	fibroblast	melanoma	not available	not available	not available	not available	not available
COLO 792	Homo sapiens	skin	melanoma	62 year	not available	male	not available	not available
COLO-783	Homo sapiens	skin	melanoma; metastatic melanoma	48 year	not available	female	not available	not available
COLO 741	Homo sapiens	skin	colon adenocarcinoma; colon carcinoma	69 year	not available	not available	not available	not available
COLO 684	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
Hs 737.T	Homo sapiens	fibroblast	bone giant cell tumor	not available	not available	not available	not available	not available
Hs 739.T	Homo sapiens	fibroblast	breast carcinoma	not available	not available	not available	not available	not available
COLO-678	Homo sapiens	large intestine	colon carcinoma	not available	not available	not available	not available	not available
COLO 668	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H2077	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
PA-TU-8988S	Homo sapiens	pancreas	pancreatic adenocarcinoma	64 year	not available	female	not available	not available
NCI-H2085	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
RERF-LC-Sq1	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H520	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	male	not available	not available
RH-41	Homo sapiens	soft tissue	alveolar rhabdomyosarcoma	not available	not available	not available	not available	not available
RI-1	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	57 year	not available	female	not available	not available
NCI-H2087	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
RKO	Homo sapiens	large intestine	colon carcinoma; colorectal carcinoma	not available	not available	not available	not available	not available
NCI-H441	Homo sapiens	lung	papillary lung adenocarcinoma; lung papillary adenocarcinoma	not available	not available	male	not available	not available
NCI-H358	Homo sapiens	lung	bronchoalveolar adenocarcinoma; non-small cell lung carcinoma	not available		not available	not available
NCI-H3255	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
NCI-H322	Homo sapiens	lung	bronchoalveolar adenocarcinoma	not available	not available	not available	not available	not available
NCI-H510	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H508	Homo sapiens	large intestine	cecum adenocarcinoma	not available	not available	not available	not available	not available
NCI-H446	Homo sapiens	lung	small cell lung carcinoma	61 year	not available	male	not available	not available
T-47D	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	54 year	not available	female	not available	not available
NCI-H2122	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	46 year	not available	female	not available	not available
NCI-H2126	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	65 year	not available	male	not available	not available
HCC-1438	Homo sapiens	lung	large cell lung carcinoma	not available	not available	not available	not available	not available
HCC1428	Homo sapiens	breast	breast adenocarcinoma	49 year	not available	female	not available	not available
