cellosaurus name	cellosaurus accession	bto cell line	organism	age	developmental stage	sex	ancestry category	disease	cell type	sampling site	synonyms
HPS0818	CVCL_UN41	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Multiple system atrophy	skin fibroblast	Skin	no available
HPS0830	CVCL_UN28	no available	Homo sapiens	40-49Y	no available	Female	Japanese	Parkinson's disease	skin fibroblast	Skin	no available
HPS0842	CVCL_C6AR	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Parkinson's disease	skin fibroblast	Skin	no available
HPS0843	CVCL_C6AS	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Parkinson's disease	skin fibroblast	Skin	no available
HPS0844	CVCL_C6AT	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Parkinson's disease	skin fibroblast	Skin	no available
HPS0845	CVCL_C6AU	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Parkinson's disease	skin fibroblast	Skin	no available
HPS0846	CVCL_C6AV	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Parkinson's disease	skin fibroblast	Skin	no available
HPS0847	CVCL_C6AW	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Parkinson's disease	skin fibroblast	Skin	no available
HPS0848	CVCL_UN27	no available	Homo sapiens	50-59Y	no available	Female	Japanese	Parkinson's disease	skin fibroblast	Skin	no available
HPS0854	CVCL_UN26	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Alzheimer's disease	skin fibroblast	Skin	no available
HPS0939	CVCL_UR09	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Achondroplasia	skin fibroblast	Skin	no available
HPS0940	CVCL_UR10	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Achondroplasia	skin fibroblast	Skin	no available
HPS0941	CVCL_UR11	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Achondroplasia	skin fibroblast	Skin	no available
HPS0945	CVCL_UR00	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Osteogenesis imperfecta	skin fibroblast	Skin	no available
HPS0946	CVCL_UR01	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Osteogenesis imperfecta	skin fibroblast	Skin	no available
HPS0947	CVCL_UR02	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Osteogenesis imperfecta	skin fibroblast	Skin	no available
HPS0948	CVCL_UR03	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Osteogenesis imperfecta	skin fibroblast	Skin	no available
HPS0949	CVCL_UR04	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Osteogenesis imperfecta	skin fibroblast	Skin	no available
HPS0953	CVCL_UR12	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Achondroplasia	skin fibroblast	Skin	no available
HPS0954	CVCL_UR13	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Achondroplasia	skin fibroblast	Skin	no available
HPS1010	CVCL_VM90	no available	Homo sapiens	70-79Y	no available	Male	no available	Autosomal dominant neurohypophyseal diabetes insipidus	no available	Peripheral blood	no available
HPS1011	CVCL_VM97	no available	Homo sapiens	30-39Y	no available	Male	Japanese	Autosomal dominant neurohypophyseal diabetes insipidus	no available	Peripheral blood	no available
HPS1012	CVCL_VN08	no available	Homo sapiens	20-29Y	no available	Female	Japanese	Vitelliform macular dystrophy	no available	Peripheral blood	BRCi005-A
HPS1013	CVCL_RH07	no available	Homo sapiens	50-59Y	no available	Female	Japanese	Gelatinous drop-like corneal dystrophy	no available	Peripheral blood	no available
HPS1032	CVCL_UN54	no available	Homo sapiens	30-39Y	no available	Male	Japanese	Dystrophia myotonica 1	no available	Peripheral blood	no available
HPS1033	CVCL_UN55	no available	Homo sapiens	30-39Y	no available	Male	Japanese	Dystrophia myotonica 1	no available	Peripheral blood	no available
HPS1037	CVCL_A1SY	no available	Homo sapiens	20-29Y	no available	Male	Japanese	Idiopathic basal ganglia calcification 1	no available	Peripheral blood	no available
HPS1038	CVCL_A1TB	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Idiopathic basal ganglia calcification 1	no available	Peripheral blood	no available
HPS1042	CVCL_UN17	no available	Homo sapiens	61Y	no available	Male	Japanese	no available	no available	Peripheral blood	no available
HPS1043	CVCL_UN18	no available	Homo sapiens	60-69Y	no available	Male	Japanese	no available	no available	Peripheral blood	no available
HPS1044	CVCL_A3FG	no available	Homo sapiens	65Y	no available	Female	Japanese	no available	no available	Peripheral blood	no available
HPS1046	CVCL_UN19	no available	Homo sapiens	47Y	no available	Male	Japanese	no available	no available	Peripheral blood	hc6 NOR-B
HPS1047	CVCL_YR45	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Charcot-Marie-Tooth disease	no available	Peripheral blood	no available
HPS1048	CVCL_YR46	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Charcot-Marie-Tooth disease	no available	Peripheral blood	no available
HPS1049	CVCL_YR47	no available	Homo sapiens	60-69Y	no available	Male	Japanese	Charcot-Marie-Tooth disease	no available	Peripheral blood	no available
HPS1050	CVCL_YR51	no available	Homo sapiens	20-29Y	no available	Female	Japanese	Charcot-Marie-Tooth disease	no available	Peripheral blood	no available
HPS1051	CVCL_YR52	no available	Homo sapiens	30-39Y	no available	Female	Japanese	Charcot-Marie-Tooth disease	no available	Peripheral blood	no available
HPS1052	CVCL_UN56	no available	Homo sapiens	30-39Y	no available	Male	Japanese	Dystrophia myotonica 1	no available	Peripheral blood	no available
HPS1053	CVCL_YR55	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Idiopathic basal ganglia calcification 1	no available	Peripheral blood	no available
HPS1054	CVCL_YR56	no available	Homo sapiens	10-19Y	no available	Female	Japanese	Idiopathic basal ganglia calcification 1	no available	Peripheral blood	no available
HPS1066	CVCL_UN57	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital myasthenic syndrome	no available	Peripheral blood	no available
HPS1067	CVCL_UP78	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital myasthenic syndrome	no available	Peripheral blood	no available
HPS1068	CVCL_UP79	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital myasthenic syndrome	no available	Peripheral blood	no available
HPS1069	CVCL_UP80	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital myasthenic syndrome	no available	Peripheral blood	no available
HPS1070	CVCL_UP81	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital myasthenic syndrome	no available	Peripheral blood	no available
HPS1071	CVCL_UN58	no available	Homo sapiens	40-49Y	no available	Male	Japanese	Leber hereditary optic atrophy	no available	Peripheral blood	no available
HPS1072	CVCL_UP96	no available	Homo sapiens	90-99Y	no available	Male	Japanese	Age-related macular degeneration	no available	Peripheral blood	BRCi004-A
HPS1074	CVCL_UN59	no available	Homo sapiens	20-29Y	no available	Female	Japanese	Spinocerebellar ataxia type 42	no available	Peripheral blood	no available
HPS1075	CVCL_UN60	no available	Homo sapiens	20-29Y	no available	Male	Japanese	Retinitis pigmentosa	skin fibroblast	Skin	no available
HPS1090	CVCL_UP33	no available	Homo sapiens	<10Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi012-A; CiRA-j-0042-A
HPS1091	CVCL_A3SS	no available	Homo sapiens	<10Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi012-B
HPS1092	CVCL_A3ST	no available	Homo sapiens	<10Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi012-C
HPS1093	CVCL_A3SU	no available	Homo sapiens	<10Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi012-D
HPS1094	CVCL_A3SV	no available	Homo sapiens	<10Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi012-E
HPS1095	CVCL_A3SW	no available	Homo sapiens	<10Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi012-F
HPS1096	CVCL_UP34	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi013-A; CiRA-j-0043-A
HPS1097	CVCL_A3SX	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi013-B
HPS1098	CVCL_A3SY	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi013-C
HPS1099	CVCL_A3SZ	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi013-D
HPS1100	CVCL_A3TA	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi013-E
HPS1101	CVCL_A3TB	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Adrenoleukodystrophy	skin fibroblast	Skin	BRCi013-F
HPS1126	CVCL_UN20	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital pure red cell aplasia	no available	Peripheral blood	no available
HPS1127	CVCL_UN21	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital pure red cell aplasia	no available	Peripheral blood	no available
HPS1128	CVCL_UN22	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital pure red cell aplasia	no available	Peripheral blood	no available
HPS1132	CVCL_UN23	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital pure red cell aplasia	skin fibroblast	Skin	no available
HPS1133	CVCL_UN24	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital pure red cell aplasia	skin fibroblast	Skin	no available
HPS1134	CVCL_UN25	no available	Homo sapiens	10-19Y	no available	Male	Japanese	Congenital pure red cell aplasia	skin fibroblast	Skin	no available
HPS1174	CVCL_C9T8	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1175	CVCL_C9T9	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1176	CVCL_C9TA	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1177	CVCL_C9TB	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1178	CVCL_C9TC	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1179	CVCL_C9TD	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1180	CVCL_C9T2	no available	Homo sapiens	50-59Y	no available	Male	Japanese	IgA nephropathy	no available	Peripheral blood	no available
HPS1181	CVCL_C9T3	no available	Homo sapiens	50-59Y	no available	Male	Japanese	IgA nephropathy	no available	Peripheral blood	no available
HPS1182	CVCL_C9T4	no available	Homo sapiens	50-59Y	no available	Male	Japanese	IgA nephropathy	no available	Peripheral blood	no available
HPS1183	CVCL_C9T5	no available	Homo sapiens	50-59Y	no available	Male	Japanese	IgA nephropathy	no available	Peripheral blood	no available
HPS1184	CVCL_C9T6	no available	Homo sapiens	50-59Y	no available	Male	Japanese	IgA nephropathy	no available	Peripheral blood	no available
HPS1185	CVCL_C9T7	no available	Homo sapiens	50-59Y	no available	Male	Japanese	IgA nephropathy	no available	Peripheral blood	no available
HPS1186	CVCL_C9SW	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Idiopathic nephrotic syndrome	no available	Peripheral blood	no available
HPS1187	CVCL_C9SX	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Idiopathic nephrotic syndrome	no available	Peripheral blood	no available
HPS1188	CVCL_C9SY	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Idiopathic nephrotic syndrome	no available	Peripheral blood	no available
HPS1189	CVCL_C9SZ	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Idiopathic nephrotic syndrome	no available	Peripheral blood	no available
HPS1190	CVCL_C9T0	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Idiopathic nephrotic syndrome	no available	Peripheral blood	no available
HPS1191	CVCL_C9T1	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Idiopathic nephrotic syndrome	no available	Peripheral blood	no available
HPS1198	CVCL_C6B4	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Localized scleroderma	no available	Peripheral blood	no available
HPS1199	CVCL_C6B5	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Localized scleroderma	no available	Peripheral blood	no available
HPS1200	CVCL_C6B6	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Localized scleroderma	no available	Peripheral blood	no available
HPS1201	CVCL_C6B7	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Localized scleroderma	no available	Peripheral blood	no available
HPS1202	CVCL_C6B8	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Localized scleroderma	no available	Peripheral blood	no available
HPS1203	CVCL_C6B9	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Localized scleroderma	no available	Peripheral blood	no available
HPS1204	CVCL_A3FM	no available	Homo sapiens	40-49Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1205	CVCL_A3FN	no available	Homo sapiens	40-49Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1206	CVCL_A3FP	no available	Homo sapiens	40-49Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1207	CVCL_A3FQ	no available	Homo sapiens	40-49Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1208	CVCL_A3FR	no available	Homo sapiens	40-49Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1209	CVCL_A3FS	no available	Homo sapiens	40-49Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1210	CVCL_UN61	no available	Homo sapiens	80-89Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1211	CVCL_A3TT	no available	Homo sapiens	80-89Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1212	CVCL_A3TU	no available	Homo sapiens	80-89Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1213	CVCL_A3TV	no available	Homo sapiens	80-89Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1214	CVCL_A3TW	no available	Homo sapiens	80-89Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1215	CVCL_A3TX	no available	Homo sapiens	80-89Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1216	CVCL_C6BA	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1217	CVCL_C6BB	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1218	CVCL_C6BC	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1219	CVCL_C6BD	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1220	CVCL_C6BE	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1221	CVCL_C6BF	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1222	CVCL_C9P5	no available	Homo sapiens	40-49Y	no available	Female	Japanese	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1223	CVCL_C9P6	no available	Homo sapiens	40-49Y	no available	Female	Japanese	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1224	CVCL_C9P7	no available	Homo sapiens	40-49Y	no available	Female	Japanese	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1225	CVCL_C9P8	no available	Homo sapiens	40-49Y	no available	Female	Japanese	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1226	CVCL_C9P9	no available	Homo sapiens	40-49Y	no available	Female	Japanese	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1227	CVCL_C9PA	no available	Homo sapiens	40-49Y	no available	Female	Japanese	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1228	CVCL_UN62	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1229	CVCL_A3TY	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1230	CVCL_A3TZ	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1231	CVCL_A3UA	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1232	CVCL_A3UB	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1233	CVCL_A3UC	no available	Homo sapiens	70-79Y	no available	Male	Japanese	Pemphigus vulgaris	no available	Peripheral blood	no available
HPS1234	CVCL_C9TE	no available	Homo sapiens	70-79Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1235	CVCL_C9TF	no available	Homo sapiens	70-79Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1236	CVCL_C9TG	no available	Homo sapiens	70-79Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1237	CVCL_C9TH	no available	Homo sapiens	70-79Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1238	CVCL_C9TI	no available	Homo sapiens	70-79Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1239	CVCL_C9TJ	no available	Homo sapiens	70-79Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1240	CVCL_C9ML	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1241	CVCL_C9MM	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1242	CVCL_C9MN	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1243	CVCL_C9MP	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1244	CVCL_C9MQ	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1245	CVCL_C9MR	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1246	CVCL_C9TK	no available	Homo sapiens	30-39Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1247	CVCL_C9TL	no available	Homo sapiens	30-39Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1248	CVCL_C9TM	no available	Homo sapiens	30-39Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1249	CVCL_C9TN	no available	Homo sapiens	30-39Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1250	CVCL_C9TP	no available	Homo sapiens	30-39Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1251	CVCL_C9TQ	no available	Homo sapiens	30-39Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1252	CVCL_UN63	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1253	CVCL_YR57	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1254	CVCL_YR58	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1255	CVCL_YR59	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1256	CVCL_YR60	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1257	CVCL_YR61	no available	Homo sapiens	50-59Y	no available	Male	Japanese	Langerhans cell histiocytosis	no available	Peripheral blood	no available
HPS1258	CVCL_C9MS	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1259	CVCL_C9MT	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1260	CVCL_C9MU	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1261	CVCL_C9MV	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1262	CVCL_C9MW	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1263	CVCL_C9MX	no available	Homo sapiens	70-79Y	no available	Female	Japanese	Systemic scleroderma	no available	Peripheral blood	no available
HPS1264	CVCL_YS24	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Polycystic kidney disease	no available	Peripheral blood	no available
HPS1265	CVCL_YS25	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Polycystic kidney disease	no available	Peripheral blood	no available
HPS1266	CVCL_YS26	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Polycystic kidney disease	no available	Peripheral blood	no available
HPS1267	CVCL_YS27	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Polycystic kidney disease	no available	Peripheral blood	no available
HPS1268	CVCL_YS28	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Polycystic kidney disease	no available	Peripheral blood	no available
HPS1269	CVCL_YS29	no available	Homo sapiens	60-69Y	no available	Female	Japanese	Polycystic kidney disease	no available	Peripheral blood	no available
HPS1270	CVCL_D0ZQ	no available	Homo sapiens	60-69Y	no available	Female	no available	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1271	CVCL_D0ZR	no available	Homo sapiens	60-69Y	no available	Female	no available	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1272	CVCL_D0ZS	no available	Homo sapiens	60-69Y	no available	Female	no available	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1273	CVCL_D0ZT	no available	Homo sapiens	60-69Y	no available	Female	no available	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1274	CVCL_D0ZU	no available	Homo sapiens	60-69Y	no available	Female	no available	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1275	CVCL_D0ZV	no available	Homo sapiens	60-69Y	no available	Female	no available	Autoimmune hepatitis	no available	Peripheral blood	no available
HPS1276	CVCL_C9TR	no available	Homo sapiens	60-69Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1277	CVCL_C9TS	no available	Homo sapiens	60-69Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1278	CVCL_C9TT	no available	Homo sapiens	60-69Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1279	CVCL_C9TU	no available	Homo sapiens	60-69Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1280	CVCL_C9TV	no available	Homo sapiens	60-69Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1281	CVCL_C9TW	no available	Homo sapiens	60-69Y	no available	Female	no available	Primary biliary cirrhosis	no available	Peripheral blood	no available
HPS1282	CVCL_C9MY	no available	Homo sapiens	60-69Y	no available	Female	no available	Diabetes mellitus	no available	Peripheral blood	no available
HPS1283	CVCL_C9MZ	no available	Homo sapiens	60-69Y	no available	Female	no available	Diabetes mellitus	no available	Peripheral blood	no available
HPS1284	CVCL_C9N0	no available	Homo sapiens	60-69Y	no available	Female	no available	Diabetes mellitus	no available	Peripheral blood	no available
HPS1285	CVCL_C9N1	no available	Homo sapiens	60-69Y	no available	Female	no available	Diabetes mellitus	no available	Peripheral blood	no available
HPS1286	CVCL_C9N2	no available	Homo sapiens	60-69Y	no available	Female	no available	Diabetes mellitus	no available	Peripheral blood	no available
HPS1287	CVCL_C9N3	no available	Homo sapiens	60-69Y	no available	Female	no available	Diabetes mellitus	no available	Peripheral blood	no available
HPS1288	CVCL_C9N4	no available	Homo sapiens	40-49Y	no available	Female	no available	Mixed connective tissue disease	no available	Peripheral blood	no available
HPS1289	CVCL_C9N5	no available	Homo sapiens	40-49Y	no available	Female	no available	Mixed connective tissue disease	no available	Peripheral blood	no available
HPS1290	CVCL_C9N6	no available	Homo sapiens	40-49Y	no available	Female	no available	Mixed connective tissue disease	no available	Peripheral blood	no available
HPS1291	CVCL_C9N7	no available	Homo sapiens	40-49Y	no available	Female	no available	Mixed connective tissue disease	no available	Peripheral blood	no available
HPS1292	CVCL_C9N8	no available	Homo sapiens	40-49Y	no available	Female	no available	Mixed connective tissue disease	no available	Peripheral blood	no available
HPS1293	CVCL_C9N9	no available	Homo sapiens	40-49Y	no available	Female	no available	Mixed connective tissue disease	no available	Peripheral blood	no available
HPS1294	CVCL_C6BG	no available	Homo sapiens	60-69Y	no available	Male	no available	Behcet syndrome	no available	Peripheral blood	no available
HPS1295	CVCL_C6BH	no available	Homo sapiens	60-69Y	no available	Male	no available	Behcet syndrome	no available	Peripheral blood	no available
HPS1296	CVCL_C6BI	no available	Homo sapiens	60-69Y	no available	Male	no available	Behcet syndrome	no available	Peripheral blood	no available
HPS1297	CVCL_C6BJ	no available	Homo sapiens	60-69Y	no available	Male	no available	Behcet syndrome	no available	Peripheral blood	no available
HPS1298	CVCL_C6BK	no available	Homo sapiens	60-69Y	no available	Male	no available	Behcet syndrome	no available	Peripheral blood	no available
HPS1299	CVCL_C6BL	no available	Homo sapiens	60-69Y	no available	Male	no available	Behcet syndrome	no available	Peripheral blood	no available
HPS1306	CVCL_C9TX	no available	Homo sapiens	70-79Y	no available	Female	no available	Polyarteritis nodosa	no available	Peripheral blood	no available
HPS1307	CVCL_C9TY	no available	Homo sapiens	70-79Y	no available	Female	no available	Polyarteritis nodosa	no available	Peripheral blood	no available
HPS1308	CVCL_C9TZ	no available	Homo sapiens	70-79Y	no available	Female	no available	Polyarteritis nodosa	no available	Peripheral blood	no available
HPS1309	CVCL_C9U0	no available	Homo sapiens	70-79Y	no available	Female	no available	Polyarteritis nodosa	no available	Peripheral blood	no available
HPS1310	CVCL_C9U1	no available	Homo sapiens	70-79Y	no available	Female	no available	Polyarteritis nodosa	no available	Peripheral blood	no available
HPS1311	CVCL_C9U2	no available	Homo sapiens	70-79Y	no available	Female	no available	Polyarteritis nodosa	no available	Peripheral blood	no available
HPS1312	CVCL_UN64	no available	Homo sapiens	70-79Y	no available	Female	no available	Neurofibromatosis type 1	no available	Peripheral blood	no available
HPS1313	CVCL_A3UD	no available	Homo sapiens	70-79Y	no available	Female	no available	Neurofibromatosis type 1	no available	Peripheral blood	no available
HPS1314	CVCL_A3UE	no available	Homo sapiens	70-79Y	no available	Female	no available	Neurofibromatosis type 1	no available	Peripheral blood	no available
HPS1315	CVCL_A3UF	no available	Homo sapiens	70-79Y	no available	Female	no available	Neurofibromatosis type 1	no available	Peripheral blood	no available
HPS1316	CVCL_A3UG	no available	Homo sapiens	70-79Y	no available	Female	no available	Neurofibromatosis type 1	no available	Peripheral blood	no available
HPS1317	CVCL_A3UH	no available	Homo sapiens	70-79Y	no available	Female	no available	Neurofibromatosis type 1	no available	Peripheral blood	no available
